"","cadmium","copper","lead","zinc","elev","dist","om","ffreq","soil","lime","landuse","dist.m","x","y","optional"
"1",11.7,85,299,1022,7.909,0.00135803,13.6,"1","1","1","Ah",50,5.75853624135808,50.9915621567178,TRUE
"2",8.6,81,277,1141,6.983,0.0122243,14,"1","1","1","Ah",30,5.75786301788305,50.9910879029232,TRUE
"3",6.5,68,199,640,7.8,0.103029,13,"1","1","1","Ah",150,5.75985541751295,50.9908927433765,TRUE
"4",2.6,81,116,257,7.655,0.190094,8,"1","2","0","Ga",270,5.76174576970541,50.9904102356329,TRUE
"5",2.8,48,117,269,7.48,0.27709,8.7,"1","2","0","Ah",380,5.76186270738117,50.9890255709571,TRUE
"6",3,61,137,281,7.791,0.364067,7.8,"1","2","0","Ga",470,5.76303964098292,50.9883925366489,TRUE
"7",3.2,31,132,346,8.217,0.190094,9.2,"1","2","0","Ah",240,5.75984329282049,50.9893916407069,TRUE
"8",2.8,29,150,406,8.49,0.0921516,9.5,"1","1","0","Ab",120,5.75787741953428,50.9893350268931,TRUE
"9",2.4,37,133,347,8.668,0.184614,10.6,"1","1","0","Ab",240,5.75833785372193,50.9881470213433,TRUE
"10",1.6,24,80,183,9.049,0.309702,6.3,"1","2","0","W",420,5.76078279077936,50.9875728618997,TRUE
"11",1.4,25,86,189,9.015,0.315116,6.4,"1","2","0","Fh",400,5.76019504905426,50.9870983459807,TRUE
"12",1.8,25,97,251,9.073,0.228123,9,"1","1","0","Ag",300,5.75792464948194,50.9863505704254,TRUE
"13",11.2,93,285,1096,7.32,0,15.4,"1","1","1","W",20,5.75569670406275,50.9891262526795,TRUE
"14",2.5,31,183,504,8.815,0.113932,8.4,"1","1","0","Ah",130,5.75704339827961,50.9883399284191,TRUE
"15",2,27,130,326,8.937,0.168336,9.1,"1","1","0","Ah",220,5.75763497281676,50.9875200505676,TRUE
"16",9.5,86,240,1032,7.702,0,16.2,"1","1","1","W",10,5.75506340331458,50.9882923009324,TRUE
"17",7,74,133,606,7.16,0.0122243,16,"1","1","1","W",10,5.75409907538524,50.9870189402934,TRUE
"18",7.1,69,148,711,7.1,0.0122243,16,"1","1","1","W",10,5.7531070321817,50.9858355480134,TRUE
"19",8.7,69,207,735,7.02,0,13.7,"1","1","1","W",10,5.75211553749502,50.9847150677111,TRUE
"20",12.9,95,284,1052,6.86,0,14.8,"1","1","1",NA,10,5.7511087876558,50.9834597939485,TRUE
"21",5.5,53,194,673,8.908,0.0703468,10.2,"1","1","1","Am",80,5.75234773643936,50.9834648830742,TRUE
"22",2.8,35,123,402,8.99,0.0975136,7.2,"1","1","1","Am",140,5.7532312564973,50.9835429938165,TRUE
"23",2.9,35,110,343,8.83,0.113932,7.2,"1","1","1","Ag",160,5.75322747760397,50.9830665956949,TRUE
"24",1.7,24,85,218,9.02,0.342321,7,"1","2","0","Ah",440,5.75964010225301,50.9853922461842,TRUE
"25",1.4,26,75,200,8.976,0.385804,6.9,"1","2","0","W",490,5.75954726041956,50.9844756797724,TRUE
"26",1.5,22,76,194,8.973,0.429289,6.3,"1","2","0","W",530,5.75982879953081,50.9840702750243,TRUE
"27",1.3,27,73,207,8.507,0.315116,5.6,"1","2","0","Ab",400,5.75756454288456,50.9840685492958,TRUE
"28",1.3,24,67,180,8.743,0.320574,4.4,"1","2","0","Ag",400,5.75705965324643,50.9832611644444,TRUE
"29",1.8,22,87,240,8.973,0.249863,5.3,"1","2","0","Ah",330,5.75625272322607,50.9838570041339,TRUE
"30",1.5,21,65,180,9.043,0.489064,4.8,"1","2","0","Ag",630,5.76247550814582,50.9855718596777,TRUE
"31",1.3,29,78,208,8.688,0.472778,2.6,"1","2","0","B",570,5.75932955670694,50.9822021949462,TRUE
"32",1.3,21,64,198,8.727,0.287957,1,"1","2","0","Ag",390,5.75569264984007,50.9814857258188,TRUE
"33",2.1,27,77,250,8.328,0.271622,2.4,"1","2","0","Ah",360,5.75499212724445,50.9811373867951,TRUE
"34",1.2,26,80,192,7.971,0.385807,1.9,"1","2","0","B",500,5.75676836243297,50.980673299633,TRUE
"35",1.6,27,82,213,7.809,0.418417,3.1,"1","2","0","B",550,5.7567910096397,50.9799451288486,TRUE
"37",3,32,97,321,6.986,0.244474,1.6,"1","2","0","Ab",340,5.75328909906964,50.9800641186472,TRUE
"38",5.8,50,166,569,7.756,0.135709,3.5,"1","2","0","Ab",210,5.75218663828695,50.9811013184432,TRUE
"39",7.9,67,217,833,7.784,0.0484965,8.1,"1","1","1","Am",60,5.75074082050022,50.9819418309139,TRUE
"40",8.1,77,219,906,7,0,7.9,"1","1","1","W",10,5.75000319287152,50.9823036988139,TRUE
"41",14.1,108,405,1454,6.92,0.00135803,9.5,"1","1","1","W",20,5.74864324761722,50.9813910868018,TRUE
"42",2.4,32,102,298,7.516,0.135709,1.4,"1","2","0","Am",170,5.75021349066651,50.9800738005995,TRUE
"43",1.2,21,48,167,8.18,0.26622,NA,"1","2","0","Ga",320,5.75115778709919,50.9788393617366,TRUE
"44",1.7,22,65,176,8.694,0.211843,NA,"1","2","0","W",260,5.74959027599575,50.9786824780721,TRUE
"45",1.3,21,62,258,9.28,0.320572,2,"1","2","0","Ah",360,5.74899635022841,50.9773899383192,TRUE
"46",4.2,51,281,746,7.94,0.081222,5.1,"1","2","0","Ah",100,5.74823209898502,50.9798013398631,TRUE
"47",4.3,50,294,746,6.36,0.190086,5.3,"1","2","0","Am",200,5.74732509108447,50.9785277449808,TRUE
"48",3.1,38,211,464,7.78,0.287941,4.5,"1","2","0","Ah",320,5.74718691872388,50.9772427667127,TRUE
"49",1.7,26,135,365,8.18,0.423826,4.9,"1","2","0","Ah",480,5.74716195442974,50.9758675477884,TRUE
"50",1.7,24,112,282,9.42,0.554289,4.5,"1","2","0","Bw",660,5.74698031230129,50.9744838269227,TRUE
"51",2.1,32,162,375,8.867,0.603225,5.5,"1","2","0","Bw",690,5.74596136562816,50.9734442799648,TRUE
"52",1.7,24,94,222,8.292,0.614071,3.4,"1","2","0","Ab",710,5.74504748664984,50.9730965420996,TRUE
"53",8.2,47,191,812,8.06,0.00135803,11.1,"1","1","1","Ah",10,5.7465555541636,50.9802739755958,TRUE
"54",17,128,405,1548,7.98,0,12.3,"1","1","1","W",10,5.7446437686074,50.9797944935969,TRUE
"55",12,117,654,1839,7.9,0.0054321,16.5,"1","1","1","W",10,5.74278980863467,50.9794226689628,TRUE
"56",9.4,104,482,1528,7.74,0.0054321,13.9,"1","1","1","W",10,5.74069409719209,50.9790875083989,TRUE
"57",8.2,76,276,933,7.552,0.0054321,8.1,"1","1","1","W",20,5.73871109204067,50.9785901683949,TRUE
"58",2.6,36,180,432,7.76,0.146578,3.1,"1","1","0","Fw",200,5.74019747024153,50.9774530501812,TRUE
"59",3.5,34,207,550,6.74,0.135684,5.8,"1","1","0","Fw",140,5.74176905142937,50.978149380156,TRUE
"60",10.9,90,541,1571,6.68,0.0703333,10.2,"1","1","1","Fw",70,5.74459520467365,50.9790395787989,TRUE
"61",7.3,80,310,1190,7.4,0.0484831,12,"1","1","1","W",20,5.73752233772848,50.9776769067862,TRUE
"62",9.4,78,210,907,7.44,0.0054321,14.1,"1","1","1","W",10,5.73640339186063,50.9765746564882,TRUE
"63",8.3,77,158,761,7.36,0.0054321,14.5,"1","1","1","Fw",10,5.73595074279196,50.9750838696178,TRUE
"64",7,65,141,659,7.2,0.0316663,14.8,"1","1","1","W",20,5.73585601588772,50.9738526808613,TRUE
"65",6.8,66,144,643,7.22,0.0122243,13.3,"1","1","1","Ah",10,5.7347788297209,50.9726064676528,TRUE
"66",7.4,72,181,801,7.36,0.0122243,15.2,"1","1","1","W",20,5.73363126249382,50.9714593326225,TRUE
"67",6.6,75,173,784,5.18,0.0373395,11.4,"1","1","1","W",20,5.73249973647215,50.9705458488692,TRUE
"69",7.8,75,399,1060,5.8,0.211846,9,"1","1","0","Ah",270,5.73555105032773,50.9692872572816,TRUE
"75",0.7,22,45,119,7.64,0.451037,3.6,"1","1","1","Fw",560,5.73869821703239,50.9675518843431,TRUE
"76",3.4,55,325,778,6.32,0.575877,6.9,"1","1","0","Bw",750,5.74096673794626,50.9663584452737,TRUE
"79",3.9,47,268,703,5.76,0.0756869,7,"1","1","1","Ab",80,5.73084191744462,50.9677732235547,TRUE
"80",3.5,46,252,676,6.48,0.12481,6.2,"1","1","1","Ab",130,5.73066521033129,50.9669827283149,TRUE
"81",4.7,55,315,793,6.48,0.103024,6.5,"1","1","0","W",110,5.729768210244,50.9669584192621,TRUE
"82",3.9,49,260,685,6.32,0.157469,5.7,"1","1","0","W",200,5.72893346951614,50.9657294125332,TRUE
"83",3.1,39,237,593,6.32,0.200976,7,"1","1","1","Ah",260,5.73040169796583,50.9660037241418,TRUE
"84",2.9,45,228,549,6.16,0.200976,7.3,"1","1","0","W",270,5.72928387135357,50.9649912913701,TRUE
"85",3.9,48,241,680,6.56,0.26622,8.2,"1","1","0","W",320,5.7301800316633,50.9649077402814,TRUE
"86",2.7,36,201,539,6.9,0.298835,4.3,"1","1","0","Ah",360,5.72964496250136,50.9637767280288,TRUE
"87",2.5,36,204,560,7.54,0.0812247,4.4,"1","1","1","Am",80,5.72612524013299,50.9651893471422,TRUE
"88",5.6,68,429,1136,6.42,0.070355,8.2,"1","1","1","W",100,5.7275846347628,50.9662008065654,TRUE
"89",9.4,88,462,1383,6.28,0.0122243,8.5,"1","1","1","W",70,5.72857646558625,50.9675012707552,TRUE
"90",10.8,85,333,1161,6.34,0,9.6,"1","1","1","W",20,5.72993420369967,50.9682253570603,TRUE
"123",18.1,76,464,1672,7.307,0.0537723,17,"1","1","1","W",50,5.7451916904561,50.9623184475399,TRUE
"160",6.3,63,159,765,5.7,0.0593662,12.8,"1","1","1","W",80,5.73186737843374,50.9697477244813,TRUE
"163",2.1,32,116,279,7.72,0.211843,5.9,"1","2","0","W",290,5.75916262360456,50.987991564653,TRUE
"70",1.8,25,81,241,7.932,0.12481,2.9,"2","2","1","Ah",160,5.7356201370016,50.9708960555301,TRUE
"71",2.2,27,131,317,7.82,0.12481,4.5,"2","1","0","W",160,5.73683830913427,50.9719620579924,TRUE
"91",2.8,36,216,545,8.575,0.0921516,10.7,"2","1","0","W",140,5.72915670819275,50.9670411266887,TRUE
"92",2.4,41,145,505,8.536,0.113941,9.4,"2","1","0","W",150,5.72816580036895,50.9658665087496,TRUE
"93",2.6,33,163,420,8.504,0.179216,9,"2","1","0","Ah",220,5.72704054930732,50.9638383354393,TRUE
"94",1.8,27,129,332,8.659,0.233596,7,"2","1","0","Am",280,5.72600468879762,50.9623402324024,TRUE
"95",2,38,148,400,7.633,0.336861,6.5,"2","1","1","Am",450,5.72922445414656,50.962735263558,TRUE
"96",2.7,37,214,553,8.538,0.070355,9.4,"2","1","1","Am",70,5.72319018482882,50.9628607996639,TRUE
"97",2.7,34,226,577,7.68,0.0593662,10.2,"2","1","0","Am",70,5.72456653372424,50.964214114333,TRUE
"98",0.9,19,54,155,7.564,0.255341,6.4,"2","1","0","W",340,5.7365873263447,50.9613739371576,TRUE
"99",0.9,22,70,224,7.76,0.364067,7.6,"2","1","0","W",470,5.73308151808865,50.9607911996607,TRUE
"100",0.4,26,73,180,7.653,0.429295,7,"2","1","0","Am",630,5.73458799038591,50.9642743666842,TRUE
"101",0.8,25,87,226,7.951,0.380328,5.6,"2","1","0","Am",460,5.73541282402068,50.966060672056,TRUE
"102",0.4,22,76,186,8.176,0.249874,6.5,"2","1","0","Am",320,5.73300925842453,50.9663465306797,TRUE
"103",0.4,24,81,198,8.468,0.266212,6.6,"2","1","0","Ah",320,5.73139490441107,50.9655693104709,TRUE
"104",0.4,18,68,187,8.41,0.451037,5.9,"2","1","0","W",540,5.73174407135168,50.9627637478882,TRUE
"105",0.8,23,66,199,7.61,0.30971,6.5,"2","1","0","W",420,5.73761241254672,50.9632854664232,TRUE
"106",0.4,22,49,157,7.792,0.293359,6.4,"2","1","0","SPO",380,5.73995238209176,50.9640154471245,TRUE
"108",0.4,23,63,203,8.76,0.532351,7.2,"2","2","0","W",500,5.74278684261421,50.9661011814377,TRUE
"109",0.4,23,48,143,9.879,0.619513,6.6,"2","3","0","Am",760,5.74405388139924,50.9698006952178,TRUE
"110",0.2,23,51,136,9.097,0.684725,4.3,"2","2","0","Ah",750,5.74542036966897,50.9716122263729,TRUE
"111",0.2,18,50,117,9.095,0.809742,5.3,"2","3","0","Fw",1000,5.74954073524401,50.9723724483782,TRUE
"112",0.4,20,39,113,9.717,0.880389,4.1,"2","3","0","Ah",860,5.74776752106001,50.96954649084,TRUE
"113",0.2,22,48,130,9.924,0.749591,6.1,"2","3","0","Ah",680,5.74701360316762,50.9677960073605,TRUE
"114",0.2,27,64,192,9.404,0.575752,7.5,"2","3","0","Fw",500,5.74469637127722,50.9663649670125,TRUE
"115",0.4,25,84,240,10.52,0.581484,8.8,"2","3","0","STA",650,5.74138719933494,50.967354923591,TRUE
"116",0.2,30,67,221,8.84,0.49452,5.7,"2","3","0","DEN",630,5.73986466990306,50.9674404709143,TRUE
"117",0.2,23,49,140,8.472,0.32058,6.1,"2","3","0","Fw",410,5.73821482017712,50.969503933912,TRUE
"118",0.2,24,48,128,9.634,0.336851,7.1,"2","3","0","Ah",390,5.73927477378635,50.9703546576293,TRUE
"119",0.2,21,56,166,9.206,0.249852,4.1,"2","2","0","Ah",310,5.73908890078217,50.9721170397225,TRUE
"120",0.2,24,65,191,8.47,0.0756869,6,"2","1","0","Ah",70,5.7352295226803,50.9719579158849,TRUE
"121",0.2,21,84,232,8.463,0.0756869,6.6,"2","1","0","W",70,5.73634968829575,50.9732399507463,TRUE
"122",0.2,23,75,203,9.691,0.162853,6.8,"2","1","1","STA",150,5.73806938330502,50.9747179147867,TRUE
"124",3.7,53,250,722,8.704,0.0974916,9.1,"2","2","0","Bw",80,5.74761229105811,50.9624277925778,TRUE
"125",0.2,33,81,210,9.42,0.440142,5.9,"2","2","0","Ah",450,5.74545176314163,50.9756571186268,TRUE
"126",0.2,22,72,198,9.573,0.4619,4.9,"2","2","0","Aa",530,5.74355004555877,50.9746112894055,TRUE
"127",0.2,23,86,139,9.555,0.222701,7.1,"2","1","0","W",240,5.74026068439739,50.9764101493103,TRUE
"128",0.2,25,94,253,8.779,0.103024,8.1,"2","1","1","Tv",70,5.73805628282554,50.9767404485262,TRUE
"129",1.2,30,244,703,8.54,0.0921353,8.3,"2","1","0","Fw",70,5.74101641736654,50.9784123592549,TRUE
"130",2.4,47,297,832,8.809,0.0484884,10,"2","1","0","Ah",60,5.74695046224039,50.9797873506923,TRUE
"131",0.2,31,96,262,9.523,0.168331,5.9,"2","1","0","Ah",190,5.74468707667693,50.9780325423074,TRUE
"132",0.2,20,56,142,9.811,0.38581,5,"2","2","0","Ah",450,5.74973080069763,50.9766325764767,TRUE
"133",0.2,16,49,119,9.604,0.489064,4.5,"2","2","0","Am",550,5.74994977567117,50.9755082823092,TRUE
"134",0.2,17,50,152,9.732,0.57602,5.4,"2","2","0","Am",650,5.74807608555067,50.9744174950464,TRUE
"135",0.4,26,148,415,9.518,0.0812194,2.3,"2","1","0","Am",100,5.75550980203048,50.9871223290827,TRUE
"136",1.6,34,162,474,9.72,0.0373369,7.5,"2","1","0","W",170,5.75318605973489,50.9850263000729,TRUE
"161",0.8,18,37,126,9.036,0.771698,4.6,"2","3","1","Ah",860,5.74595972807204,50.969570084074,TRUE
"162",1.2,23,80,210,9.528,0.336829,5.8,"2","2","0","W",410,5.74561437945596,50.9764296578442,TRUE
"137",0.2,20,80,220,9.155,0.228123,4.4,"3","1","0","Aa",290,5.75636110509254,50.9849443120433,TRUE
"138",0.2,14,49,133,10.08,0.597761,4.4,"3","2","0","Am",680,5.7497841244298,50.9743582261178,TRUE
"140",0.8,46,42,141,9.97,0.44558,4.5,"3","2","0","Am",540,5.74192818556248,50.9710656680312,TRUE
"141",1,29,48,158,10.136,0.396675,5.2,"3","2","0","Am",480,5.74057003852211,50.9703237452531,TRUE
"142",0.8,19,41,129,10.32,0.581478,4.6,"3","3","0","W",720,5.74296392685375,50.9687613411206,TRUE
"143",1.2,31,73,206,9.041,0.287966,6.9,"3","1","0","W",380,5.7305320116308,50.964385343225,TRUE
"144",2,27,146,451,7.86,0.233596,7,"3","1","0","W",310,5.72930674496926,50.964236159703,TRUE
"145",1.5,29,95,296,8.741,0.364067,5.4,"3","1","0","Ah",430,5.73002413935026,50.9630834637602,TRUE
"146",1.1,22,72,189,7.822,0.331454,6.2,"3","1","0","Ah",370,5.7321474412756,50.9595984683956,TRUE
"147",0.8,20,51,154,7.78,0.211846,5,"3","1","0","Fw",290,5.73528038358116,50.9598228012411,TRUE
"148",0.8,20,54,169,8.121,0.103029,5.1,"3","1","0","W",150,5.73660927956852,50.9586322684186,TRUE
"149",2.1,29,136,403,8.231,0.070355,8.1,"3","1","0","Bw",70,5.73510587658979,50.9574412779348,TRUE
"150",2.5,38,170,471,8.351,0.146576,8,"3","1","0","Bw",220,5.73357307086976,50.958012172479,TRUE
"151",3.8,39,179,612,7.3,0.0537723,8.8,"3","1","0","W",80,5.73225323471614,50.9566138520321,TRUE
"152",3.2,35,200,601,7.536,0.119286,9.3,"3","1","0","W",120,5.72910928777653,50.956793968865,TRUE
"153",3.1,42,258,783,7.706,0.0921435,8.4,"3","1","0","Ah",120,5.72572798754482,50.9576039145765,TRUE
"154",1.5,24,93,258,8.07,0.249863,7.7,"3","1","0","Am",260,5.73069951288422,50.9582005118259,TRUE
"155",1.2,20,68,214,8.226,0.37494,5.7,"3","1","0","Ah",440,5.72921791320759,50.9599307592545,TRUE
"156",0.8,20,49,166,8.128,0.423837,4.7,"3","1","0","Am",540,5.73141645690526,50.9608231289454,TRUE
"157",3.1,39,173,496,8.577,0.423837,9.1,"3","1","0","Ah",520,5.73001472884631,50.9618160626212,TRUE
"158",2.1,31,119,342,8.429,0.27709,6.5,"3","1","0","Ah",350,5.72702698628839,50.9619956595548,TRUE
"159",0.8,21,51,162,9.406,0.358606,5.7,"3","1","0","W",460,5.73544365845197,50.9625998680199,TRUE
"164",2.7,27,124,375,8.261,0.0122243,5.5,"3","3","0","W",40,5.75195524139862,50.9608321506575,TRUE
